"","time",""
"1",2008.00819672131,-0.285815928077212
"2",2008.02568306011,2.96922913951724
"3",2008.04508196721,4.3501095107835
"4",2008.06393442623,2.80300789403854
"5",2008.08306010929,1.80178066740563
"6",2008.10218579235,3.13275788268661
"7",2008.12090163934,0.528937808483347
"8",2008.14043715847,2.85796292503672
"9",2008.15956284153,3.25799746413791
"10",2008.17868852459,-0.381663375063089
"11",2008.19535519126,2.31817009932318
"12",2008.2131147541,-2.89222250819845
"13",2008.23606557377,-1.8632742997057
"14",2008.25519125683,0.246064432553394
"15",2008.27431693989,-2.73378174550788
"16",2008.2943989071,-2.4255877885177
"17",2008.31256830601,0.8102987513752
"18",2008.33196721311,0.0718443063206866
"19",2008.34836065574,2.31150486655837
"20",2008.36953551913,-1.62544446871754
"21",2008.38907103825,-2.16842505973511
"22",2008.40819672131,0.200342382233828
"23",2008.42732240437,0.00212619089269239
"24",2008.44398907104,-2.5572179047361
"25",2008.46557377049,-1.11552997556176
"26",2008.48469945355,-6.73120494703028e-05
"27",2008.50382513661,-0.265379365299864
"28",2008.52295081967,-1.56286371541835
"29",2008.54234972678,-1.50319486856532
"30",2008.56120218579,0.944844750386828
"31",2008.58032786885,2.1352309301577
"32",2008.59945355191,0.427138042600191
"33",2008.61816939891,-0.933507267850693
"34",2008.63770491803,-0.140143965353424
"35",2008.65683060109,0.615322864223291
"36",2008.67595628415,-0.691537566866785
"37",2008.69508196721,-0.93381571006285
"38",2008.71584699454,-2.59473445285695
"39",2008.73333333333,-2.23983481219289
"40",2008.75204918033,-1.86474834086897
"41",2008.77158469945,-0.256513885841938
"42",2008.79030054645,1.20311466388539
"43",2008.80983606557,-0.989474871268589
"44",2008.82896174863,-4.31422563648945
"45",2008.84808743169,-0.143060524601665
"46",2008.86680327869,-0.261486202456172
"47",2008.88633879781,-1.48023634564167
"48",2008.90546448087,-2.95906754670247
"49",2008.92459016393,-1.52590503747834
"50",2008.94371584699,-2.22866335821102
"51",2008.96379781421,0.958202083403005
"52",2008.98360655738,-1.2634065566047
"53",2008.99453551913,-2.2367694200143
"54",2009.01095890411,-5.40494465445403
"55",2009.02794520548,-2.78820192419873
"56",2009.04863013699,0.431376391581734
"57",2009.06630136986,0.289261172402358
"58",2009.08547945205,-0.701020221543865
"59",2009.10465753425,-0.192715319132499
"60",2009.12534246575,-1.36582417253833
"61",2009.14301369863,-0.102689200951018
"62",2009.16219178082,1.02536892635934
"63",2009.18136986301,0.0811652564161651
"64",2009.19931506849,1.37885666675998
"65",2009.2197260274,-1.08527153675477
"66",2009.23890410959,-0.360197102611302
"67",2009.25808219178,1.83688296055116
"68",2009.27853881279,1.61877563148406
"69",2009.29863013699,-0.178004660582516
"70",2009.31561643836,0.260167154318383
"71",2009.33630136986,-0.669036587270666
"72",2009.35397260274,-0.137727750319582
"73",2009.37465753425,-0.0538445297766916
"74",2009.39452054795,0.202177464253545
"75",2009.41095890411,-0.623096515772687
"76",2009.43068493151,-3.75752802087054
"77",2009.44863013699,-1.64448784006521
"78",2009.46904109589,-0.380227949580387
"79",2009.48821917808,1.66407422471972
"80",2009.50739726027,0.665985344748137
"81",2009.52657534247,-0.656161407264804
"82",2009.54726027397,0.734731465419689
"83",2009.56493150685,0.272007705433932
"84",2009.58410958904,-0.0598230049005899
"85",2009.60328767123,1.35664471361557
"86",2009.62191780822,1.34581416773504
"87",2009.64164383562,1.9839762997013
"88",2009.66082191781,1.81873494973721
"89",2009.68,0.923100130590331
"90",2009.69726027397,-0.827493948168785
"91",2009.71835616438,-0.444406352356992
"92",2009.73753424658,-0.173431702864296
"93",2009.75671232877,-0.283479105967631
"94",2009.77589041096,-2.54194867869103
"95",2009.79657534247,-2.73910224096895
"96",2009.81424657534,0.330591655147622
"97",2009.83342465753,-0.72488052280478
"98",2009.85260273973,-1.60797331720476
"99",2009.87123287671,1.51431218415898
"100",2009.89095890411,3.33571033591374
"101",2009.9101369863,-0.0245413910240888
"102",2009.92931506849,0.870588559300805
"103",2009.94849315068,-2.36661447733167
"104",2009.9698630137,-4.13364666792982
"105",2009.99178082192,-0.795931787053276
"106",2010.01232876712,-6.36975894457344
"107",2010.02904109589,-4.75616435878752
"108",2010.05068493151,-0.425272282943852
"109",2010.06739726027,-4.01953231217172
"110",2010.08657534247,-1.1734952257361
"111",2010.10575342466,-3.37202425696741
"112",2010.12739726027,-3.37805226919811
"113",2010.14410958904,-1.36139753808855
"114",2010.16328767123,-1.27572021855061
"115",2010.18246575342,-4.88842380739844
"116",2010.20068493151,-0.876007599002119
"117",2010.22082191781,2.47673958255319
"118",2010.24,-0.277964062561356
"119",2010.26301369863,0.709538121190175
"120",2010.27835616438,-1.37150935067654
"121",2010.3,-2.1600002272914
"122",2010.31671232877,1.77145889120922
"123",2010.33589041096,-3.43410395182181
"124",2010.35342465753,-4.56062782831293
"125",2010.37465753425,-1.75384452903177
"126",2010.39383561644,-1.70448262428991
"127",2010.41260273973,-1.47715650963111
"128",2010.43178082192,-0.0781035337965825
"129",2010.45,-2.60132226496299
"130",2010.4701369863,-1.72276134318113
"131",2010.48931506849,2.07790686108002
"132",2010.50849315068,2.16984850477214
"133",2010.52767123288,3.43129962786854
"134",2010.54931506849,2.32376249069547
"135",2010.56602739726,-0.0963707840292436
"136",2010.58520547945,-0.851177589176299
"137",2010.60438356164,0.258806976055894
"138",2010.62328767123,-0.730933399338358
"139",2010.64273972603,0.825591009703775
"140",2010.66191780822,-2.40390017186419
"141",2010.68109589041,-1.32432670881385
"142",2010.69863013699,-0.00237036145217928
