"","","diff.y","clean.y","diff.coal","diff.gas","","diff.oil",""
"1",2008.02568306011,-0.00331073085019007,-0.00331073085019007,0.00935456127932799,0.0679538162336399,4250.632,-0.0386351730764511,5.9033333332
"2",2008.04508196721,-0.0486618027033678,-0.0486618027033678,0.0108364189770507,-0.0680567127712619,3986.875,-0.0334204039458887,7.175
"3",2008.06393442623,-0.0884336081702428,-0.0884336081702428,-0.0013423908017085,-0.0253864115585629,3736.642,-0.00503685764769557,5.6433333334
"4",2008.08306010929,-0.0380121779233549,-0.0380121779233549,0.046484573323208,-0.0449009204074557,3825.35,0.0137135076081112,4.7799999998
"5",2008.10218579235,0.0175850918535621,0.0175850918535621,0.0173835920890246,-0.032492537098316,3711.164,0.00472350145313261,6.37
"6",2008.12090163934,0.0190274026116963,0.0190274026116963,0.0190734243205846,0.00774748561649075,3799.995,0.0389154148295816,4.1333333335
"7",2008.14043715847,0.0581599462408211,0.0581599462408211,-0.00411421347694141,0.00611457100765245,3775.61,0.0254458336567689,6.96
"8",2008.15956284153,-0.0172111628548173,-0.0172111628548173,-0.015556551474984,0.0217167665975113,3779.2,-0.000557045024214275,7.9533333334
"9",2008.17868852459,0.0029205353087387,0.0029205353087387,-0.00130948601611891,0.0138150312946883,3607.04,0.00631246670177088,5.0033333334
"10",2008.19535519126,0.0392026219555532,0.0392026219555532,-0.0313977209922438,0.0256325378889417,3605.1,0.0325698356872781,8.375
"11",2008.2131147541,-0.0179499799666107,-0.0179499799666107,-0.0192073427387749,-0.0210984305154338,3531.36666666667,-0.0431449896692397,3.94444444433333
"12",2008.23606557377,0.0247113309446547,0.0247113309446547,-0.0394542398422448,0.00454232611729966,3633.052,-0.00841352208989843,6.0633333334
"13",2008.25519125683,0.0460053034334287,0.0460053034334287,-0.0663886553473008,0.0769068593370559,3790.01,0.0147825608813168,9.1366666652
"14",2008.27431693989,0.0377212594792473,0.0377212594792473,0.0356207522384722,-0.000239072400230356,3743.152,0.0372075562519241,7.1566666666
"15",2008.2943989071,0.0280486445200272,0.0280486445200272,0.0312374899887082,0.0252231593672101,3748.615,0.0380283956291692,8.537500001
"16",2008.31256830601,-0.00195027858304542,-0.00195027858304542,0.0145195427622484,0.033585460016833,3774.156,0.0311929230674037,12.749999998
"17",2008.33196721311,-0.0192634070599418,-0.0192634070599418,0.0531838836319087,-0.0271944244160589,3842.075,0.00123926499677651,13.045833335
"18",2008.34836065574,0.029714161849554,0.029714161849554,0.0362805219987754,0.00202497537977164,3843.5775,0.0758201902859463,16.141666665
"19",2008.36953551913,-0.00930425400529122,-0.00930425400529122,0.0157648839176385,-0.00125307260118968,3852.9175,0.00113430614508925,13.270833335
"20",2008.38907103825,0.0415606903578687,0.0415606903578687,0.0136344426362118,-0.0196359745168588,3772.038,0.0455319007538071,13.656666666
"21",2008.40819672131,0.0147016430475095,0.0147016430475095,0.0394393894235003,0.0513050979061798,3740.96,-0.0103347018769577,16.87
"22",2008.42732240437,0.0272921422880072,0.0272921422880072,0.0718262567171513,0.0567430210385478,3662.652,0.0065035878950912,17.44
"23",2008.44398907104,0.00479617226349305,0.00479617226349305,0.0349521425772963,0.0181629111554336,3547.3375,0.0452299285667097,15.4791666675
"24",2008.46557377049,0.012508849691709,0.012508849691709,0.0165486595426438,-0.00860287770964385,3480.834,-0.00117832259479478,17.586666668
"25",2008.48469945355,0.0201503651509487,0.0201503651509487,0.0403382234743823,-0.00301278910671199,3384.87,0.015025179001789,19.180000002
"26",2008.50382513661,-0.00313972000466789,-0.00313972000466789,0.113628506263439,0.0381378818624798,3304.028,0.0342572343166792,19.28
"27",2008.52295081967,-0.0492190726040578,-0.0492190726040578,-0.00137073207447713,-0.0416525768906788,3265.422,-0.0220318324411997,18.23
"28",2008.54234972678,-0.0601437877359721,-0.0601437877359721,7.26463138347455e-05,-0.0633890283126237,3243.235,-0.0496995247466572,18.416666665
"29",2008.56120218579,-0.0122331817352199,-0.0122331817352199,-0.0229320032690516,-0.00471898524688807,3346.572,-0.0526605617574107,20.866666666
"30",2008.58032786885,-0.110124783737342,-0.110124783737342,-0.0886354108164795,0.0303649772046808,3333.176,-0.0121029443094969,21.936666666
"31",2008.59945355191,0.00923814812589319,0.00923814812589319,-0.0070740086562342,0.0622278096231441,3408.1,-0.0434925984843026,19.986666666
"32",2008.61816939891,0.0478501805605656,0.0478501805605656,0.0466915427925674,0.0137001298299526,3378.6325,-0.00467803611306827,18.275
"33",2008.63770491803,0.0361062118241247,0.0361062118241247,0.0267826313962605,0.0868249663263998,3283.354,0.0282525074870668,18.586666666
"34",2008.65683060109,0.0272081560882169,0.0272081560882169,0.00903422420649047,0.00897033451743612,3337.204,-0.00466030597787537,18.763333332
"35",2008.67595628415,-0.0223766354091341,-0.0223766354091341,-0.00771345300399773,-0.0104006385453617,3306.04,-0.0470513761346121,16.78
"36",2008.69508196721,-0.056980627946551,-0.056980627946551,-0.0278359155992574,-0.00193104367477881,3230.876,-0.0670571835504283,15.773333332
"37",2008.71584699454,0.0429126899626158,0.0429126899626158,-0.0754656878954574,0.00012469605353127,3113.7225,-0.0115658507884175,13.195833335
"38",2008.73333333333,0.0108768376202204,0.0108768376202204,-0.0264657208985177,-0.0285200651078243,3126.284,0.0185561243592014,12.72
"39",2008.75204918033,-0.0767971470113658,-0.0767971470113658,-0.0750010894462019,0.121191309169606,2995.5075,-0.0478016838506043,12.158333335
"40",2008.77158469945,-0.0139014892407903,-0.0139014892407903,-0.0884797808960158,-0.0825604362212857,2662.646,-0.110051018456692,12.75
